site,tick,user_name,user_steamid
169,5456,zig,76561198274174345
169,13612,frees.tyler,76561198002613044
168,28396,Faat,76561198171814417
168,44752,zig,76561198274174345
168,53340,zig,76561198274174345
168,60961,Worfy,76561199052717313
169,74024,frees.tyler,76561198002613044
169,95116,Wybaczam.oficjalnie skins.army,76561199256543526
168,104585,RME | Пацан,76561199826895670
169,108379,Wybaczam.oficjalnie skins.army,76561199256543526
169,131969,Simple Dimple skins.army,76561199433997570
169,142494,RME | Пацан,76561199826895670
