entityid,tick,user_name,user_steamid,x,y,z
327,2806,prosto bo$$,76561199068251294,1259.3857,1171.9224,1.993529
448,10617,shawty#)$@,76561199557907229,-177.07143,1233.0361,1.9341366
482,20034,frees.tyler,76561198002613044,387.99313,1586.4891,2.5849
452,28779,zig,76561198274174345,494.8113,2078.9822,113.0007
121,31562,RME | Пацан,76561199826895670,610.6133,573.0864,2.9975898
450,36288,shawty#)$@,76561199557907229,-1946.3804,1466.9392,50.89983
156,37023,frees.tyler,76561198002613044,-102.46167,1547.7701,2.8274164
141,37330,Wybaczam.oficjalnie skins.army,76561199256543526,-181.27794,1104.1133,1.728509
345,42406,shawty#)$@,76561199557907229,-1961.9805,1451.9332,32.695354
156,43375,RME | Пацан,76561199826895670,-2061.8208,1110.8662,39.055748
489,47027,shawty#)$@,76561199557907229,1096.0625,2502.6992,112.62029
444,47232,zig,76561198274174345,1252.2255,2267.14,10.45303
145,47523,Worfy,76561199052717313,1445.6212,2725.3174,98.11919
89,51900,frees.tyler,76561198002613044,81.74823,1458.0173,1.5834951
94,52079,RME | Пацан,76561199826895670,-1606.4148,1641.5365,19.04226
67,52563,Worfy,76561199052717313,353.24066,1572.7161,4.886564
289,54432,zig,76561198274174345,403.46545,2155.1226,95.45758
440,60327,shawty#)$@,76561199557907229,-574.8104,1717.2863,-113.321556
78,64722,Wybaczam.oficjalnie skins.army,76561199256543526,-1950.0798,1668.0427,32.47129
142,66070,prosto bo$$,76561199068251294,-491.82297,2034.0868,-121.9179
167,70458,prosto bo$$,76561199068251294,534.04443,675.36865,1.3088436
343,79970,zig,76561198274174345,1712.9357,1889.4893,2.8935885
125,80127,RME | Пацан,76561199826895670,1549.164,1431.4888,2.0312498
312,82952,shawty#)$@,76561199557907229,888.39197,2451.5964,98.412094
399,83895,frees.tyler,76561198002613044,205.647,1334.5157,18.083763
86,84263,Simple Dimple skins.army,76561199433997570,-209.83687,1489.0328,2.2770376
152,84598,prosto bo$$,76561199068251294,-2009.0696,1414.5228,32.08249
507,87598,Faat,76561198171814417,-1991.7003,1637.3885,33.060265
290,96850,Simple Dimple skins.army,76561199433997570,-330.41425,1524.8304,-124.027405
87,101012,Wybaczam.oficjalnie skins.army,76561199256543526,-139.98616,1455.4144,1.6738608
76,102693,frees.tyler,76561198002613044,-71.66544,395.45102,0.57843584
148,104458,shawty#)$@,76561199557907229,380.57544,2282.221,-108.98759
140,107181,frees.tyler,76561198002613044,-1589.2452,1149.4628,34.89299
130,107949,prosto bo$$,76561199068251294,-1069.1445,1277.0331,-112.310646
114,108030,Worfy,76561199052717313,114.41261,1420.3816,1.588838
311,108189,Wybaczam.oficjalnie skins.army,76561199256543526,-1773.7263,2826.3696,34.185776
133,108335,RME | Пацан,76561199826895670,-1340.8533,1082.9655,36.04428
448,113785,Worfy,76561199052717313,-1996.1754,1648.6797,34.2243
173,113846,Faat,76561198171814417,612.4351,577.18964,2.985628
457,113886,frees.tyler,76561198002613044,-1574.8429,1140.5967,35.254025
323,114259,zig,76561198274174345,-1031.7819,1405.669,-111.29245
448,118752,frees.tyler,76561198002613044,-1557.2604,1115.9167,36.32213
173,118877,Worfy,76561199052717313,-1989.4551,1605.9598,30.768085
498,118931,RME | Пацан,76561199826895670,-1128.6262,1306.5885,-111.56773
330,120211,Faat,76561198171814417,324.36343,1959.8116,99.084595
449,126096,Worfy,76561199052717313,-2003.3137,1643.698,31.293076
120,126127,frees.tyler,76561198002613044,-1136.5482,1153.9926,-22.96875
92,126356,Moon,76561198049602148,718.4788,428.56207,2.5105293
86,130947,Worfy,76561199052717313,-2003.8328,1664.304,31.418371
146,131242,frees.tyler,76561198002613044,-1570.8563,1127.4203,35.654854
110,132566,zig,76561198274174345,-1678.4314,2335.765,-0.21022034
453,135825,zig,76561198274174345,546.3978,661.261,18.356396
124,135842,Worfy,76561199052717313,-1995.1581,1669.6993,31.139023
437,135852,frees.tyler,76561198002613044,-1590.5568,1149.7507,34.84352
126,138808,Worfy,76561199052717313,-1990.4965,1648.4469,30.940102
81,138827,frees.tyler,76561198002613044,-1618.0752,1175.9385,33.570198
503,138836,Faat,76561198171814417,539.4588,635.5507,3.3424366
74,139514,prosto bo$$,76561199068251294,676.8516,571.9273,17.497585
493,140328,zig,76561198274174345,-1028.9956,1410.3794,-111.580215
