disconnect,isbot,oldteam,silent,team,tick,user_name,user_steamid
False,False,2,True,3,85014,Faat,76561198171814417
False,False,2,True,3,85014,Moon,76561198049602148
False,False,2,True,3,85014,frees.tyler,76561198002613044
False,False,2,True,3,85014,zig,76561198274174345
False,False,2,True,3,85014,Worfy,76561199052717313
False,False,3,True,2,85014,Simple Dimple skins.army,76561199433997570
False,False,3,True,2,85014,Wybaczam.oficjalnie skins.army,76561199256543526
False,False,3,True,2,85014,RME | Пацан,76561199826895670
False,False,3,True,2,85014,shawty#)$@,76561199557907229
False,False,3,True,2,85014,prosto bo$$,76561199068251294
