"relative_path","length_bytes","type"
"errors","","directory"
"events","","directory"
"meta","","directory"
"ticks","","directory"
"game_events_list.csv","860","file"
"light_validation_report.json","21496","file"
"match_summary.json","14851","file"
"errors\failed_events.csv","21","file"
"errors\failed_meta_methods.csv","213","file"
"errors\failed_tick_groups.csv","23","file"
"events\announce_phase_end.csv","16","file"
"events\begin_new_match.csv","13","file"
"events\bomb_begindefuse.csv","322","file"
"events\bomb_beginplant.csv","556","file"
"events\bomb_defused.csv","230","file"
"events\bomb_dropped.csv","1332","file"
"events\bomb_exploded.csv","191","file"
"events\bomb_pickup.csv","1661","file"
"events\bomb_planted.csv","556","file"
"events\bullet_damage.csv","132255","file"
"events\buytime_ended.csv","174","file"
"events\chat_message.csv","128","file"
"events\cs_pre_restart.csv","166","file"
"events\cs_round_final_beep.csv","168","file"
"events\cs_round_start_beep.csv","486","file"
"events\cs_win_panel_match.csv","17","file"
"events\decoy_detonate.csv","351","file"
"events\decoy_started.csv","417","file"
"events\fire_bullets.csv","517379","file"
"events\flashbang_detonate.csv","6522","file"
"events\hegrenade_detonate.csv","5238","file"
"events\hltv_versioninfo.csv","22","file"
"events\inferno_expire.csv","4229","file"
"events\inferno_startburn.csv","4229","file"
"events\item_equip.csv","455404","file"
"events\item_pickup.csv","75322","file"
"events\player_blind.csv","13913","file"
"events\player_bullet_hit.csv","30097","file"
"events\player_death.csv","30455","file"
"events\player_disconnect.csv","715","file"
"events\player_footstep.csv","63211","file"
"events\player_hurt.csv","61241","file"
"events\player_spawn.csv","8267","file"
"events\player_team.csv","657","file"
"events\rank_update.csv","693","file"
"events\round_announce_last_round_half.csv","16","file"
"events\round_announce_match_point.csv","41","file"
"events\round_announce_match_start.csv","15","file"
"events\round_freeze_end.csv","168","file"
"events\round_officially_ended.csv","315","file"
"events\round_poststart.csv","166","file"
"events\round_prestart.csv","166","file"
"events\round_time_warning.csv","23","file"
"events\server_cvar.csv","33141","file"
"events\smokegrenade_detonate.csv","6363","file"
"events\smokegrenade_expired.csv","5607","file"
"events\weapon_fire.csv","201424","file"
"events\weapon_reload.csv","9479","file"
"events\weapon_zoom.csv","22663","file"
"meta\grenades.csv","97834877","file"
"meta\header.json","509","file"
"meta\item_drops.csv","100","file"
"meta\player_info.csv","367","file"
"meta\skins.csv","922","file"
"ticks\ticks_aggregate.csv","100487670","file"
"ticks\ticks_buttons.csv","97428889","file"
"ticks\ticks_damage_and_status.csv","107813862","file"
"ticks\ticks_game_state.csv","134203237","file"
"ticks\ticks_player_core.csv","122981685","file"
"ticks\ticks_usercommands.csv","85828848","file"
"ticks\ticks_view_and_movement.csv","193027447","file"
"ticks\ticks_weapon.csv","155562659","file"
